,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
142201,Maharashtra Circle,Pune Region,Pune Moffusil Division,Narayangaon S.O,410504,PO,Delivery,PUNE,MAHARASHTRA,19.1176111,73.976
142202,Maharashtra Circle,Pune Region,Pune Moffusil Division,Nhavare S.O,412211,PO,Delivery,PUNE,MAHARASHTRA,18.66475,74.369
142203,Maharashtra Circle,Pune Region,Pune Moffusil Division,Nimgaon Ketki S.O,413120,PO,Delivery,PUNE,MAHARASHTRA,18.083333,74.916667
142204,Maharashtra Circle,Pune Region,Pune Moffusil Division,Nira R S S.O,412102,PO,Delivery,PUNE,MAHARASHTRA,18.1025278,74.2110278
142205,Maharashtra Circle,Pune Region,Pune Moffusil Division,Otur S.O,412409,PO,Delivery,PUNE,MAHARASHTRA,21.1940833,74.3640833
142206,Maharashtra Circle,Pune Region,Pune Moffusil Division,Paud S.O,412108,PO,Delivery,PUNE,MAHARASHTRA,18.5232778,73.6192778
142207,Maharashtra Circle,Pune Region,Pune Moffusil Division,Pawananagar S.O,410406,PO,Delivery,PUNE,MAHARASHTRA,18.6876111,73.509
142208,Maharashtra Circle,Pune Region,Pune Moffusil Division,Peth S.O (Pune),410512,PO,Delivery,PUNE,MAHARASHTRA,18.52047,73.300211
142209,Maharashtra Circle,Pune Region,Pune Moffusil Division,Phursungi S.O,412308,PO,Delivery,PUNE,MAHARASHTRA,18.4724444,73.9793611
142210,Maharashtra Circle,Pune Region,Pune Moffusil Division,Saswad S.O,412301,PO,Delivery,PUNE,MAHARASHTRA,18.3426944,74.0311389
142211,Maharashtra Circle,Pune Region,Pune Moffusil Division,Shinoli S.O,410516,PO,Delivery,PUNE,MAHARASHTRA,15.862899,74.396866
142212,Maharashtra Circle,Pune Region,Pune Moffusil Division,Pabal S.O,412403,PO,Delivery,PUNE,MAHARASHTRA,19.311511,73.36449
142213,Maharashtra Circle,Pune Region,Pune Moffusil Division,Palasdeo S.O,413132,PO,Delivery,PUNE,MAHARASHTRA,19.70148,75.713888
142214,Maharashtra Circle,Pune Region,Pune Moffusil Division,Pandare S.O,413110,PO,Delivery,PUNE,MAHARASHTRA,18.15,74.5833
142215,Maharashtra Circle,Pune Region,Pune Moffusil Division,Panshet S.O,412107,PO,Delivery,PUNE,MAHARASHTRA,21.3148,75.3149
142216,Maharashtra Circle,Pune Region,Pune Moffusil Division,Pimpalwandi S.O (Pune),412412,PO,Delivery,PUNE,MAHARASHTRA,18.52047,73.300211
142217,Maharashtra Circle,Pune Region,Pune Moffusil Division,R P T S Khandala S.O,410302,PO,Delivery,PUNE,MAHARASHTRA,18.2033,76.2024
142218,Maharashtra Circle,Pune Region,Pune Moffusil Division,Supa S.O (Pune),412204,PO,Delivery,PUNE,MAHARASHTRA,18.52047,73.300211
142219,Maharashtra Circle,Pune Region,Pune Moffusil Division,Vada S.O (Pune),412402,PO,Delivery,PUNE,MAHARASHTRA,18.52047,73.300211
142220,Maharashtra Circle,Pune Region,Pune Moffusil Division,Veer S.O,412312,PO,Delivery,PUNE,MAHARASHTRA,18.6452777,72.4477777
142229,Maharashtra Circle,Pune Region,Pune City East Division,Ghorpuri Bazar S.O,411001,PO,Non Delivery,PUNE,MAHARASHTRA,18.52547222,73.89416667
142230,Maharashtra Circle,Pune Region,Pune City East Division,H.E. Factory S.O,411003,PO,Non Delivery,PUNE,MAHARASHTRA,17.169389,78.00415
